key, value
n_FI00_onshore,FI00
n_SE01_onshore,SE01
n_SE02_onshore,SE02
n_SE03_onshore,SE03
n_SE04_onshore,SE04
n_NON1_onshore,NON1
n_NOM1_onshore,NON1
n_NOS0_onshore,NOS0
n_DKE1_onshore,DKE1
n_DKW1_onshore,DKW1
