key, value
n_FI00_offshore,FI00
n_SE01_offshore,SE01
n_SE02_offshore,SE02
n_SE03_offshore,SE03
n_SE04_offshore,SE04
n_NON1_offshore,NON1
n_NOM1_offshore,NON1
n_DKE1_offshore,DKE1
n_DKW1_offshore,DKW1
n_NL00_offshore,NL00
n_BE00_offshore,BE00
n_FR00_offshore,FR00
n_UK00_offshore,UK00
